Tag: arch Values: HSB_HistDist : 2.387685109423326, Blue_HistDist : 2.577777328525344, GrayHistDist : 10.213369556917723, InterestPointsDist : 0.0, Green_HistDist : 7.6237466002820895, NumberOfFacesDist : 0.2, Red_HistDist : 19.10326481355408, RGB_HistDist : 5.537059447132246, 
Tag: oil rig Values: HSB_HistDist : 2.412536237175348, Blue_HistDist : 8.695274627761933, GrayHistDist : 15.171809198608651, InterestPointsDist : 0.0, Green_HistDist : 19.12892018580012, NumberOfFacesDist : 0.0, Red_HistDist : 33.340622037667345, RGB_HistDist : 15.64239064978491, 
Tag: shinto Values: HSB_HistDist : 15.678986232219023, Blue_HistDist : 35.13234502370294, GrayHistDist : 52.94154780183935, InterestPointsDist : 0.0, Green_HistDist : 57.43746708278991, NumberOfFacesDist : 1.0, Red_HistDist : 72.97848491926952, RGB_HistDist : 39.69629747751047, 
Tag: rock Values: HSB_HistDist : 2.4683480980754453, Blue_HistDist : 12.944261454840543, GrayHistDist : 22.0529708619949, InterestPointsDist : 0.0, Green_HistDist : 19.724585642179463, NumberOfFacesDist : 0.0, Red_HistDist : 21.40164686543822, RGB_HistDist : 15.340811346170398, 
Tag: cityscape Values: HSB_HistDist : 2.0883210495018965, Blue_HistDist : 4.9158728213490175, GrayHistDist : 7.448732724273677, InterestPointsDist : 0.0, Green_HistDist : 9.930961959491977, NumberOfFacesDist : 0.0, Red_HistDist : 5.1885782364010025, RGB_HistDist : 1.9867215672365908, 
Tag: house Values: HSB_HistDist : 2.8601330874317954, Blue_HistDist : 4.01112163776711, GrayHistDist : 8.514691327268272, InterestPointsDist : 0.0, Green_HistDist : 8.513331838864934, NumberOfFacesDist : 0.0, Red_HistDist : 14.359606453893258, RGB_HistDist : 4.315606627436147, 
Tag: lisbon Values: HSB_HistDist : 1.8553563424113904, Blue_HistDist : 2.5911282467802046, GrayHistDist : 31.37002945984897, InterestPointsDist : 0.0, Green_HistDist : 5.240503358797283, NumberOfFacesDist : 1.0, Red_HistDist : 7.800323677547089, RGB_HistDist : 8.061813507171989, 
Tag: westport - california Values: HSB_HistDist : 3.1013110532805155, Blue_HistDist : 23.962405591627956, GrayHistDist : 36.49349817284748, InterestPointsDist : 0.0, Green_HistDist : 32.72163789529138, NumberOfFacesDist : 0.2, Red_HistDist : 40.94275017809372, RGB_HistDist : 27.961346330113514, 
Tag: city Values: HSB_HistDist : 2.8543776057894457, Blue_HistDist : 4.978192531272499, GrayHistDist : 9.487261366714927, InterestPointsDist : 0.0, Green_HistDist : 5.175153792988037, NumberOfFacesDist : 0.2, Red_HistDist : 4.853560440399047, RGB_HistDist : 3.7257888049414944, 
Tag: tree Values: HSB_HistDist : 2.921366476429635, Blue_HistDist : 10.95768358551937, GrayHistDist : 14.217792078087331, InterestPointsDist : 0.0, Green_HistDist : 15.553740817679312, NumberOfFacesDist : 0.0, Red_HistDist : 2.67322101915929, RGB_HistDist : 7.123614867019772, 
Tag: animals in the wild Values: HSB_HistDist : 5.202098551999397, Blue_HistDist : 9.831086315886708, GrayHistDist : 4.046207267244703, InterestPointsDist : 0.2, Green_HistDist : 5.225245281955086, NumberOfFacesDist : 0.2, Red_HistDist : 4.357441615228117, RGB_HistDist : 4.620604151268407, 
